Município;Até 1 ano;1 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 24 anos;25 a 29 anos;30 a 34 anos;35 a 39 anos;40 a 44 anos;45 a 49 anos;50 a 54 anos;55 a 59 anos;60 a 64 anos;65 a 69 anos;70 a 74 anos;75 a 79 anos;80 anos ou mais
110001 Alta Floresta D'Oeste;6;40;38;29;12;26;36;69;67;56;49;43;30;30;20;12;18;14
110002 Ariquemes;50;196;299;209;207;268;346;424;398;376;302;243;214;172;150;115;61;52
110003 Cabixi;5;5;6;5;7;4;6;9;9;5;6;8;5;3;2;0;1;1
110004 Cacoal;70;328;356;272;228;299;457;564;617;496;366;285;263;231;186;122;74;79
110005 Cerejeiras;9;23;35;27;19;21;57;61;49;28;28;19;16;12;5;9;1;3
110006 Colorado do Oeste;11;30;47;37;33;26;48;50;56;61;24;21;24;20;12;10;6;2
110007 Corumbiara;0;1;3;5;4;4;5;3;6;2;4;3;4;3;1;0;0;0
110008 Costa Marques;1;5;11;8;7;1;20;19;15;11;5;6;2;4;5;4;3;2
110009 Espigão D'Oeste;7;44;53;40;31;24;41;71;67;69;53;40;49;35;36;15;9;17
110010 Guajará-Mirim;9;38;47;59;50;40;47;74;90;75;63;40;51;70;60;54;29;51
110011 Jaru;13;77;87;74;53;77;129;149;174;134;76;79;71;48;41;31;17;20
110012 Ji-Paraná;111;523;623;420;401;501;750;894;851;688;516;416;371;329;272;195;137;124
110013 Machadinho D'Oeste;5;18;23;22;10;16;34;30;36;26;23;15;15;9;10;5;2;0
110014 Nova Brasilândia D'Oeste;6;34;32;24;25;36;36;52;50;28;20;14;11;3;5;6;3;4
110015 Ouro Preto do Oeste;13;72;85;71;65;56;90;119;139;131;99;73;94;82;74;42;32;36
110018 Pimenta Bueno;25;111;155;130;98;101;171;196;224;180;131;99;107;81;81;60;35;32
110020 Porto Velho;412;2307;3205;2837;2399;2335;3555;4537;4929;4027;3001;2391;2349;2128;1815;1344;842;1149
110025 Presidente Médici;5;33;40;26;31;22;49;58;61;57;37;38;42;42;30;19;12;7
110026 Rio Crespo;0;0;2;2;0;3;1;1;1;3;2;3;2;2;1;1;0;0
110028 Rolim de Moura;30;136;152;118;92;96;163;215;244;190;150;75;83;72;46;37;17;15
110029 Santa Luzia D'Oeste;1;8;8;7;7;9;7;13;11;9;14;7;12;7;0;3;0;0
110030 Vilhena;88;383;520;387;349;563;723;809;772;608;434;338;278;261;230;170;81;98
110032 São Miguel do Guaporé;9;35;26;22;9;17;46;42;45;35;24;12;10;9;7;3;0;3
110033 Nova Mamoré;3;14;18;14;7;18;15;24;20;9;12;18;11;5;1;2;1;1
110034 Alvorada D'Oeste;6;22;28;20;16;18;29;37;36;32;20;17;22;13;13;7;5;2
110037 Alto Alegre dos Parecis;0;6;5;1;1;5;11;13;9;5;2;2;1;1;0;1;1;0
110040 Alto Paraíso;0;9;12;9;2;9;19;17;13;7;10;10;11;9;0;3;0;1
110045 Buritis;5;30;42;26;22;23;62;60;39;37;34;15;10;0;9;4;3;0
110050 Novo Horizonte do Oeste;0;6;9;4;4;3;8;8;5;7;11;5;6;1;3;2;0;0
110060 Cacaulândia;0;1;4;2;1;0;3;5;3;4;1;4;3;0;2;1;0;0
110070 Campo Novo de Rondônia;0;1;3;1;2;6;4;6;4;2;2;3;0;2;1;0;0;0
110080 Candeias do Jamari;10;20;39;36;23;21;33;30;29;24;21;11;10;7;3;5;5;2
110090 Castanheiras;0;2;6;2;1;1;2;7;2;5;2;3;3;2;1;1;0;0
110092 Chupinguaia;3;6;16;6;7;7;19;17;11;11;14;5;4;1;0;3;0;0
110094 Cujubim;3;5;13;10;5;10;10;10;12;12;7;4;8;2;4;0;1;0
110100 Governador Jorge Teixeira;0;1;0;2;5;5;6;8;1;3;4;0;1;0;0;0;0;0
110110 Itapuã do Oeste;6;26;49;38;24;22;35;42;30;31;21;12;11;14;7;1;0;1
110120 Ministro Andreazza;3;8;10;5;7;13;19;16;13;10;7;10;0;3;3;0;1;0
110130 Mirante da Serra;2;5;8;4;10;6;13;10;10;11;9;10;5;3;3;0;1;0
110140 Monte Negro;1;7;4;7;1;5;9;10;11;9;7;3;3;6;2;2;2;1
110143 Nova União;1;3;2;1;0;2;1;4;4;2;6;1;1;2;0;0;0;2
110145 Parecis;1;4;3;0;1;2;5;4;3;2;3;0;2;3;1;1;0;0
110146 Pimenteiras do Oeste;1;2;4;2;3;3;4;2;0;4;3;0;0;1;0;0;0;2
110147 Primavera de Rondônia;0;4;7;6;2;1;5;7;10;8;4;1;7;5;2;2;0;0
110148 São Felipe D'Oeste;2;7;10;4;4;4;14;15;13;4;7;6;4;3;0;0;0;1
110149 São Francisco do Guaporé;2;21;23;6;5;11;19;23;24;17;10;3;4;3;1;1;0;4
110150 Seringueiras;2;6;5;5;1;11;7;7;10;10;5;7;6;3;1;0;0;0
110155 Teixeirópolis;0;2;6;1;1;3;6;3;6;5;9;0;3;2;2;1;0;0
110160 Theobroma;0;3;2;3;3;0;7;1;2;6;4;2;4;1;1;0;0;1
110170 Urupá;4;10;15;4;4;10;18;19;15;11;11;8;10;7;4;3;2;1
110175 Vale do Anari;1;4;3;5;3;4;5;5;5;3;2;2;1;0;2;1;0;1
110180 Vale do Paraíso;1;3;4;1;1;2;3;1;4;8;2;4;0;0;0;0;0;0
120001 Acrelândia;3;16;13;11;6;15;28;29;27;32;16;14;16;12;7;4;1;3
120005 Assis Brasil;1;1;1;1;3;3;4;7;6;5;5;2;2;1;2;1;0;0
120010 Brasiléia;0;14;18;15;3;11;18;19;18;15;13;7;6;11;13;4;4;5
120013 Bujari;3;8;14;5;4;4;5;3;7;7;4;4;4;2;3;3;0;2
120017 Capixaba;2;0;2;4;0;2;4;6;2;1;6;3;2;0;1;0;0;1
120020 Cruzeiro do Sul;13;40;77;52;39;47;95;112;110;96;52;29;39;20;19;6;14;11
120025 Epitaciolândia;2;10;7;11;6;4;15;25;26;11;6;5;2;5;4;5;2;1
120030 Feijó;1;9;9;11;7;5;11;22;17;10;13;7;11;5;2;7;0;9
120032 Jordão;0;0;1;2;2;0;1;1;2;2;3;0;0;1;1;0;0;0
120033 Mâncio Lima;1;1;3;2;0;1;3;6;2;4;0;0;3;0;0;2;0;0
120034 Manoel Urbano;0;3;4;2;2;1;1;4;1;3;1;0;0;0;1;1;1;0
120035 Marechal Thaumaturgo;0;2;1;1;0;1;0;0;1;0;1;0;0;1;0;0;0;0
120038 Plácido de Castro;1;2;10;4;6;4;8;8;18;11;9;14;8;8;7;1;2;2
120039 Porto Walter;0;2;1;0;1;1;2;0;2;1;0;0;0;0;0;0;0;0
120040 Rio Branco;178;909;1788;1338;1246;1127;1502;1797;1971;2160;1580;1250;1264;1055;983;831;542;774
120042 Rodrigues Alves;1;0;1;1;0;0;1;0;2;1;0;0;1;1;0;0;0;0
120043 Santa Rosa do Purus;0;2;0;0;2;1;0;1;1;3;0;0;0;0;0;0;0;0
120045 Senador Guiomard;2;13;21;26;15;23;22;21;22;26;13;15;10;13;4;8;7;3
120050 Sena Madureira;1;2;11;13;13;9;17;22;17;14;8;9;18;8;8;7;5;5
120060 Tarauacá;1;4;5;10;13;11;9;17;11;18;12;8;5;9;9;4;6;1
120070 Xapuri;3;5;4;2;2;3;2;8;10;8;6;5;5;5;6;4;1;6
120080 Porto Acre;2;4;5;3;9;0;2;4;5;5;3;6;4;1;3;2;0;0
130002 Alvarães;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
130006 Amaturá;0;0;3;0;2;0;0;0;1;1;2;0;0;0;0;0;0;0
130008 Anamã;0;0;2;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0
130010 Anori;0;2;2;2;4;1;7;5;1;3;3;3;0;0;0;0;0;2
130014 Apuí;0;1;0;3;3;4;5;3;0;0;1;4;1;1;0;0;1;0
130020 Atalaia do Norte;0;0;1;0;1;0;0;1;2;2;2;0;1;0;0;0;0;0
130030 Autazes;0;3;2;2;0;3;4;4;2;6;3;1;1;1;2;1;1;0
130040 Barcelos;1;3;1;0;3;4;4;3;5;2;2;0;0;0;1;1;0;0
130050 Barreirinha;0;3;2;4;1;0;1;6;4;3;2;0;0;0;0;0;0;1
130060 Benjamin Constant;0;6;3;2;2;1;3;5;6;5;8;5;5;0;0;1;0;2
130063 Beruri;0;0;1;0;0;3;2;1;3;0;0;0;1;0;0;0;0;0
130068 Boa Vista do Ramos;0;1;1;0;1;0;0;2;1;1;1;0;0;0;0;0;1;0
130070 Boca do Acre;0;5;4;2;1;5;11;8;7;4;1;1;3;3;1;0;0;1
130080 Borba;1;2;4;3;4;1;3;3;4;6;3;4;2;1;0;0;0;1
130083 Caapiranga;1;0;4;2;3;2;3;0;3;2;4;0;0;0;1;0;0;0
130090 Canutama;0;1;2;1;3;0;1;5;2;0;2;0;0;0;0;0;0;0
130100 Carauari;3;7;17;25;17;5;10;14;13;17;6;7;0;5;2;0;0;0
130110 Careiro;1;1;3;2;1;2;4;4;1;3;3;0;1;0;2;0;0;1
130115 Careiro da Várzea;0;2;1;1;2;1;1;6;0;0;5;2;0;1;0;0;1;2
130120 Coari;5;24;27;21;14;13;25;46;38;33;20;8;7;7;0;2;0;1
130130 Codajás;0;2;6;3;3;2;4;6;1;0;10;6;3;1;0;0;0;0
130140 Eirunepé;0;0;3;4;5;4;2;5;7;4;4;3;1;1;0;2;1;1
130150 Envira;0;0;3;1;0;0;0;2;2;0;2;1;0;0;0;0;0;0
130160 Fonte Boa;0;2;3;1;3;3;3;1;2;2;4;1;1;0;0;0;0;0
130165 Guajará;0;0;0;0;0;2;3;0;0;1;0;0;0;1;1;0;0;0
130170 Humaitá;0;16;24;20;12;14;20;39;32;26;22;26;14;2;5;6;2;2
130180 Ipixuna;0;1;0;0;1;2;1;1;0;1;0;1;0;0;0;1;0;0
130185 Iranduba;10;34;41;28;29;38;30;45;51;48;27;26;17;11;11;1;0;5
130190 Itacoatiara;13;62;121;113;109;76;80;101;130;115;98;57;30;23;14;12;8;18
130195 Itamarati;0;2;0;2;2;1;0;2;3;2;0;0;0;1;0;0;0;0
130200 Itapiranga;0;10;10;3;7;7;13;13;10;8;5;0;0;0;1;0;0;0
130210 Japurá;0;0;2;4;3;0;0;1;0;1;2;1;1;1;1;0;2;0
130220 Juruá;0;0;3;2;0;0;4;1;4;1;0;1;1;0;0;0;0;0
130230 Jutaí;0;1;0;1;1;3;0;2;1;3;1;0;0;0;1;0;0;0
130240 Lábrea;0;3;5;6;2;3;5;9;11;6;6;2;1;0;2;1;1;0
130250 Manacapuru;5;17;21;25;23;24;53;42;41;46;36;18;13;10;9;0;3;2
130255 Manaquiri;0;1;0;1;0;1;2;0;2;0;1;1;1;0;1;0;0;0
130260 Manaus;3719;18151;23848;22347;21290;24345;27936;30893;33495;33923;27428;20959;14990;11087;7697;5769;3909;5077
130270 Manicoré;0;1;4;5;6;3;10;7;7;2;6;1;0;3;1;0;0;0
130280 Maraã;1;3;0;0;0;1;2;2;2;1;0;1;1;0;1;0;0;0
130290 Maués;0;8;9;15;5;4;5;12;17;13;14;7;3;6;2;3;1;2
130300 Nhamundá;1;0;1;0;0;0;1;3;0;1;0;1;0;0;0;0;0;0
130310 Nova Olinda do Norte;0;0;2;1;3;0;1;3;3;1;2;1;0;1;1;1;1;1
130320 Novo Airão;0;1;3;1;2;3;3;6;3;5;3;1;2;0;2;1;0;0
130330 Novo Aripuanã;0;1;0;1;0;1;2;1;0;0;1;3;1;0;0;0;0;0
130340 Parintins;4;22;21;26;23;17;22;32;43;33;32;23;18;16;12;13;5;12
130350 Pauini;0;0;3;0;1;1;1;2;2;2;2;0;0;0;0;0;0;0
130353 Presidente Figueiredo;7;8;19;18;41;20;17;22;22;25;29;15;14;12;7;10;3;6
130356 Rio Preto da Eva;0;3;5;8;6;5;6;8;4;13;9;5;5;1;4;3;1;0
130360 Santa Isabel do Rio Negro;0;1;1;0;1;1;0;1;2;0;1;0;0;0;0;0;0;0
130370 Santo Antônio do Içá;0;2;3;4;4;3;1;2;1;1;3;1;1;1;0;0;0;0
130380 São Gabriel da Cachoeira;0;2;1;4;11;5;6;11;6;6;4;6;4;6;3;1;2;1
130390 São Paulo de Olivença;1;1;5;7;5;3;4;1;7;4;2;1;2;0;2;0;0;0
130395 São Sebastião do Uatumã;0;0;0;0;0;3;0;0;3;0;0;0;0;0;0;0;0;0
130400 Silves;0;0;0;2;2;1;3;1;2;0;0;0;0;0;0;0;0;0
130406 Tabatinga;6;12;25;19;16;8;25;31;33;19;17;3;2;5;1;2;1;1
130410 Tapauá;0;0;3;2;0;0;1;0;2;2;0;0;0;0;1;0;0;0
130420 Tefé;3;21;31;27;15;15;20;34;47;30;20;12;11;3;4;4;0;2
130423 Tonantins;0;1;3;2;0;0;1;2;1;0;0;1;0;1;0;0;0;0
130426 Uarini;0;2;2;4;0;2;1;2;1;0;2;0;1;0;0;0;0;0
130430 Urucará;0;2;1;4;1;4;1;2;5;5;1;0;0;0;0;0;0;0
130440 Urucurituba;0;0;2;0;0;0;2;0;2;2;1;1;3;0;0;0;0;0
140002 Amajari;0;1;0;3;1;1;0;1;5;2;0;0;1;0;0;0;0;0
140005 Alto Alegre;0;2;2;1;1;3;1;2;3;1;2;2;4;0;0;1;0;0
140010 Boa Vista;156;941;1239;1072;911;920;1241;1491;1752;1504;1088;811;723;672;591;390;258;331
140015 Bonfim;1;3;0;1;0;1;2;5;0;2;0;2;0;1;0;2;0;1
140017 Cantá;2;7;15;11;3;10;12;12;12;11;8;6;4;7;1;1;1;1
140020 Caracaraí;0;3;4;4;7;2;3;2;6;9;2;2;1;4;1;1;0;1
140023 Caroebe;1;0;0;0;2;1;0;3;2;0;1;0;2;0;0;0;0;0
140028 Iracema;1;1;1;0;1;2;1;1;1;1;2;0;0;0;0;0;0;0
140030 Mucajaí;1;2;4;1;3;5;1;5;5;2;6;0;2;4;3;0;1;1
140040 Normandia;0;2;1;3;2;0;0;0;1;1;0;0;0;0;0;0;0;0
140045 Pacaraima;0;4;5;3;0;9;12;17;12;11;5;3;3;1;1;1;0;0
140047 Rorainópolis;1;9;9;4;8;10;13;14;11;9;5;4;2;4;0;1;0;1
140050 São João da Baliza;0;1;0;2;3;4;1;1;2;6;0;0;0;0;2;0;0;0
140060 São Luiz;1;1;1;2;0;0;2;1;2;0;0;2;2;1;0;0;0;1
140070 Uiramutã;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
150010 Abaetetuba;60;306;373;289;331;388;410;437;457;415;362;248;158;106;72;58;36;46
150013 Abel Figueiredo;0;0;2;2;2;2;5;2;3;4;5;0;2;3;2;0;0;0
150020 Acará;2;10;11;7;16;12;17;20;13;17;14;10;4;4;2;3;1;3
150030 Afuá;0;6;2;2;5;1;1;4;6;4;1;3;2;2;0;2;0;1
150034 Água Azul do Norte;8;34;56;42;36;35;41;48;38;17;8;3;1;3;0;0;0;0
150040 Alenquer;2;5;13;16;19;15;16;15;14;23;20;17;10;14;17;10;5;13
150050 Almeirim;2;38;72;76;88;80;57;89;96;90;106;71;57;41;24;15;7;1
150060 Altamira;32;186;277;222;177;197;274;384;352;334;264;195;132;116;96;74;38;32
150070 Anajás;1;8;7;8;9;4;4;9;9;2;3;2;3;2;1;1;0;0
150080 Ananindeua;686;3390;4202;3426;3040;3006;3725;4234;4909;4692;3504;2658;2056;1626;1362;1058;644;796
150085 Anapu;1;6;5;5;4;7;4;5;10;4;5;2;1;1;2;0;0;0
150090 Augusto Corrêa;0;0;7;12;15;7;5;5;9;4;7;2;0;0;2;0;2;1
150095 Aurora do Pará;0;6;9;4;7;6;10;3;6;6;2;2;2;1;1;1;0;0
150100 Aveiro;0;1;1;3;4;2;0;0;5;2;4;2;1;0;1;0;0;0
150110 Bagre;0;1;0;1;1;0;2;1;4;1;2;0;2;2;0;0;1;0
150120 Baião;0;7;4;6;6;6;4;3;6;7;7;3;2;2;1;3;2;1
150125 Bannach;0;2;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;1
150130 Barcarena;121;649;772;669;665;778;1012;1117;1179;1011;675;449;289;173;103;59;14;27
150140 Belém;2196;11270;14785;12915;11855;12358;15165;17051;19070;19691;15387;12830;11011;9609;8759;7551;5579;8528
150145 Belterra;2;11;18;12;11;15;14;14;10;14;12;4;2;4;2;5;1;6
150150 Benevides;25;169;223;169;158;195;230;199;202;223;163;124;72;63;44;34;16;32
150157 Bom Jesus do Tocantins;0;7;3;8;5;5;5;9;12;7;6;2;0;0;1;0;4;2
150160 Bonito;2;14;11;9;8;8;19;13;16;9;4;0;0;3;1;0;1;0
150170 Bragança;8;39;59;57;51;46;51;66;92;100;64;60;53;42;38;29;18;17
150172 Brasil Novo;0;9;11;11;8;11;9;4;10;10;9;6;3;3;2;1;2;0
150175 Brejo Grande do Araguaia;0;0;0;1;1;2;0;4;3;1;2;0;1;0;1;0;0;0
150178 Breu Branco;4;18;37;54;55;29;35;32;41;42;35;7;7;4;4;2;0;1
150180 Breves;6;34;42;53;21;20;38;39;58;57;34;27;22;15;16;10;3;4
150190 Bujaru;0;1;7;5;10;3;9;4;4;5;5;4;2;3;1;0;1;1
150195 Cachoeira do Piriá;0;0;2;1;0;0;1;0;0;1;0;0;0;1;0;0;0;1
150200 Cachoeira do Arari;0;3;3;1;2;3;1;2;5;5;3;1;1;3;1;0;0;0
150210 Cametá;2;22;27;22;27;35;36;38;50;45;41;15;18;16;14;12;3;7
150215 Canaã dos Carajás;224;1064;1326;1146;999;1225;1601;1681;1653;1309;740;312;181;63;14;10;6;5
150220 Capanema;9;56;93;109;87;101;146;128;164;140;115;97;91;53;57;49;34;31
150230 Capitão Poço;2;20;27;27;20;20;30;33;35;34;27;23;15;15;7;13;6;7
150240 Castanhal;89;576;663;542;436;472;622;844;902;865;573;414;354;331;210;154;113;121
150250 Chaves;0;2;3;3;1;2;2;4;0;2;2;0;1;0;3;2;0;0
150260 Colares;0;1;2;2;1;2;1;1;1;1;1;3;0;1;2;2;2;0
150270 Conceição do Araguaia;9;22;32;29;34;36;36;48;71;47;44;36;24;23;21;11;5;7
150275 Concórdia do Pará;1;15;15;18;11;14;20;17;20;13;6;9;7;7;3;1;3;1
150276 Cumaru do Norte;1;0;3;1;1;1;1;0;0;2;1;2;0;1;0;0;0;0
150277 Curionópolis;22;102;134;134;104;99;143;150;141;110;35;19;12;6;2;2;0;1
150280 Curralinho;3;2;6;5;5;5;1;7;6;5;3;2;2;2;0;1;0;0
150285 Curuá;0;1;1;3;0;2;0;0;4;4;1;0;0;1;1;0;0;0
150290 Curuçá;1;2;7;8;7;6;9;11;6;10;4;3;2;4;0;2;2;1
150293 Dom Eliseu;3;37;53;50;27;35;54;64;58;44;33;29;24;21;12;5;2;3
150295 Eldorado dos Carajás;1;5;7;6;4;11;5;10;12;6;6;3;2;1;0;0;0;0
150300 Faro;1;3;6;9;4;1;5;8;3;4;3;1;0;0;0;0;0;0
150304 Floresta do Araguaia;1;2;3;3;2;3;6;4;7;4;2;3;0;0;0;0;0;0
150307 Garrafão do Norte;0;3;1;1;3;4;1;2;4;2;3;2;0;2;0;0;0;0
150309 Goianésia do Pará;0;8;8;2;5;2;13;6;10;5;2;0;2;2;0;0;0;0
150310 Gurupá;0;3;3;2;1;2;3;2;4;6;2;1;0;3;0;1;0;1
150320 Igarapé-Açu;0;9;20;21;9;12;24;21;26;33;10;18;10;10;12;7;10;11
150330 Igarapé-Miri;5;20;27;22;44;32;35;29;31;31;33;23;12;9;7;6;5;4
150340 Inhangapi;0;2;0;1;4;4;1;6;3;4;1;3;2;0;0;0;0;0
150345 Ipixuna do Pará;6;18;30;25;28;30;32;32;37;22;22;9;5;1;4;0;0;0
150350 Irituia;1;6;4;6;4;5;4;4;7;9;8;4;5;6;5;3;1;1
150360 Itaituba;99;478;648;502;505;641;950;925;1003;853;676;571;543;465;396;244;87;66
150370 Itupiranga;1;8;13;11;6;4;15;12;12;4;7;6;3;4;3;3;0;0
150375 Jacareacanga;0;2;2;6;4;5;3;4;1;5;4;2;0;1;0;0;0;0
150380 Jacundá;0;12;15;12;9;8;17;34;24;21;14;12;13;8;7;2;2;1
150390 Juruti;26;122;181;171;179;142;166;197;196;180;99;53;27;12;1;4;0;2
150400 Limoeiro do Ajuru;0;3;2;3;1;2;3;3;5;2;3;3;1;3;0;0;0;0
150405 Mãe do Rio;2;12;18;16;17;12;20;28;38;20;22;12;17;9;7;10;3;2
150410 Magalhães Barata;0;0;0;0;0;0;2;0;1;3;2;0;0;0;1;0;1;0
150420 Marabá;136;794;1073;901;791;878;1099;1354;1523;1243;751;452;341;231;138;120;62;87
150430 Maracanã;0;2;3;0;1;3;3;4;5;3;1;2;3;3;3;0;2;1
150440 Marapanim;0;2;8;4;6;3;4;6;6;7;9;4;9;4;6;3;4;1
150442 Marituba;44;225;291;230;210;238;309;320;341;300;242;167;94;68;48;30;24;29
150445 Medicilândia;1;13;17;15;9;8;14;24;14;8;5;2;5;7;2;0;0;1
150450 Melgaço;0;0;1;2;2;2;2;1;0;3;0;1;2;0;1;0;0;0
150460 Mocajuba;2;4;6;8;5;11;22;11;14;13;9;3;7;5;1;0;0;3
150470 Moju;3;31;47;32;32;34;31;33;42;39;30;22;15;5;5;6;2;3
150475 Mojuí Dos Campos;3;13;21;16;8;10;21;18;24;12;11;7;9;4;0;0;1;0
150480 Monte Alegre;1;8;20;23;15;20;24;23;39;30;28;30;17;16;15;12;8;12
150490 Muaná;0;5;9;7;6;6;9;6;11;4;5;9;5;3;0;2;0;2
150495 Nova Esperança do Piriá;1;4;2;4;1;1;4;2;7;2;4;0;1;0;0;2;0;0
150497 Nova Ipixuna;2;0;2;3;1;3;3;1;2;1;1;2;2;0;0;0;0;1
150500 Nova Timboteua;1;4;6;8;2;4;10;5;8;4;3;5;5;4;1;2;3;3
150503 Novo Progresso;3;29;29;31;26;35;45;48;42;41;27;16;11;11;9;1;1;2
150506 Novo Repartimento;5;6;7;10;6;9;14;17;12;18;2;7;0;1;3;1;1;0
150510 Óbidos;3;9;27;11;23;20;21;19;24;42;26;20;21;8;15;4;6;6
150520 Oeiras do Pará;2;6;6;3;6;4;6;3;10;5;4;3;6;3;1;1;1;2
150530 Oriximiná;56;268;426;542;489;367;263;398;485;543;421;280;180;80;18;9;9;15
150540 Ourém;1;1;2;3;5;2;5;6;2;2;1;5;3;3;1;4;0;2
150543 Ourilândia do Norte;23;151;187;217;166;175;212;291;261;190;118;51;27;8;2;2;0;0
150548 Pacajá;1;5;12;5;0;3;10;16;11;6;5;8;1;2;1;0;0;0
150549 Palestina do Pará;0;0;0;1;0;1;3;1;0;1;1;0;1;0;0;0;0;0
150550 Paragominas;55;279;374;332;330;402;539;540;585;448;283;187;130;94;79;55;38;38
150553 Parauapebas;784;3541;4492;4007;3594;3745;4543;5272;5684;4821;2789;1422;789;332;150;61;29;34
150555 Pau D'Arco;0;1;1;1;2;1;1;0;4;0;0;1;0;0;1;0;0;0
150560 Peixe-Boi;0;1;2;2;3;0;2;2;5;3;3;3;2;2;2;1;1;0
150563 Piçarra;0;3;0;2;2;0;1;3;2;2;1;0;1;0;0;0;0;0
150565 Placas;0;4;3;3;1;3;2;6;5;5;1;0;1;3;0;0;0;0
150570 Ponta de Pedras;1;2;10;7;7;9;4;15;5;6;7;3;5;3;2;2;3;1
150580 Portel;1;5;8;10;14;8;11;16;15;12;9;5;5;6;4;3;1;0
150590 Porto de Moz;0;3;2;3;7;5;7;7;9;4;7;3;1;3;0;0;1;0
150600 Prainha;0;7;7;4;3;4;4;9;4;4;4;3;1;1;1;1;1;0
150610 Primavera;3;11;13;18;8;14;16;15;14;10;6;4;3;2;1;1;0;1
150611 Quatipuru;0;4;2;4;2;4;1;2;4;2;0;0;0;1;1;0;0;0
150613 Redenção;28;135;181;159;131;137;193;266;248;202;117;120;68;56;30;16;11;13
150616 Rio Maria;3;10;14;17;10;13;17;16;25;19;16;4;11;7;5;4;2;1
150618 Rondon do Pará;3;22;45;45;38;49;56;50;62;65;77;98;71;42;27;22;17;19
150619 Rurópolis;2;6;16;6;6;5;15;13;14;10;7;4;1;1;4;2;0;1
150620 Salinópolis;0;8;11;22;17;18;19;17;34;27;32;15;12;12;14;12;4;9
150630 Salvaterra;2;7;3;5;9;4;4;4;10;11;8;9;4;2;3;1;0;2
150635 Santa Bárbara do Pará;3;12;27;26;22;25;26;24;40;29;21;11;7;8;4;6;3;4
150640 Santa Cruz do Arari;0;2;2;3;3;0;0;2;3;3;0;1;2;0;0;0;0;0
150650 Santa Isabel do Pará;5;94;98;88;67;79;114;104;114;112;96;71;65;40;28;20;22;26
150655 Santa Luzia do Pará;0;3;3;4;7;3;9;6;5;6;8;4;2;2;0;1;0;0
150658 Santa Maria das Barreiras;0;1;3;5;2;4;5;5;8;6;2;1;2;3;0;0;0;0
150660 Santa Maria do Pará;1;12;21;9;12;7;11;22;9;17;9;11;13;11;4;3;5;6
150670 Santana do Araguaia;2;20;13;11;12;9;16;25;27;26;18;11;10;8;3;3;0;1
150680 Santarém;216;1403;1807;1488;1245;1360;1766;2007;2228;1968;1474;1190;992;799;685;520;316;375
150690 Santarém Novo;1;0;1;4;0;0;4;2;0;0;1;0;0;1;0;1;0;0
150700 Santo Antônio do Tauá;2;14;12;16;13;16;21;18;22;25;19;11;12;8;6;5;5;5
150710 São Caetano de Odivelas;0;3;2;2;2;2;1;4;6;5;3;4;1;0;1;1;1;1
150715 São Domingos do Araguaia;1;3;5;4;6;8;7;11;4;12;6;0;0;1;2;1;0;0
150720 São Domingos do Capim;0;1;4;4;2;2;4;3;3;4;0;3;1;1;1;1;0;1
150730 São Félix do Xingu;1;15;17;12;8;18;19;21;33;20;12;15;13;6;2;0;1;0
150740 São Francisco do Pará;0;5;4;5;3;5;7;8;10;8;11;5;4;2;3;2;0;1
150745 São Geraldo do Araguaia;3;9;7;9;6;2;15;15;11;9;11;4;3;2;1;0;0;0
150746 São João da Ponta;0;2;0;0;1;1;1;2;0;2;0;1;0;0;0;0;0;1
150747 São João de Pirabas;0;1;5;2;5;3;8;6;5;5;3;3;1;1;1;2;1;0
150750 São João do Araguaia;2;2;6;4;2;3;2;5;3;3;2;1;1;0;1;0;0;0
150760 São Miguel do Guamá;1;21;18;19;22;23;22;44;36;27;22;23;25;16;9;12;6;7
150770 São Sebastião da Boa Vista;0;4;10;6;8;3;4;4;3;6;2;4;2;2;2;1;1;0
150775 Sapucaia;1;1;13;3;4;6;9;18;24;42;35;27;32;24;13;5;4;1
150780 Senador José Porfírio;0;1;5;4;5;5;1;7;5;3;4;3;4;1;1;0;0;0
150790 Soure;0;8;11;8;13;3;9;9;15;19;11;9;12;9;4;4;3;4
150795 Tailândia;7;41;62;41;102;205;164;123;114;87;62;33;23;10;10;3;5;5
150796 Terra Alta;1;3;2;3;0;1;1;3;2;3;2;0;0;2;0;0;0;0
150797 Terra Santa;3;35;50;38;44;23;27;54;38;46;23;8;7;3;4;2;0;0
150800 Tomé-Açu;4;55;83;69;57;47;73;100;89;72;52;33;33;25;25;18;12;22
150803 Tracuateua;0;1;4;1;7;4;9;3;3;3;4;4;2;1;0;3;1;0
150805 Trairão;1;5;7;7;1;5;9;4;6;5;1;2;0;1;1;0;0;0
150808 Tucumã;5;62;98;90;58;88;97;127;115;67;57;22;19;14;9;4;2;2
150810 Tucuruí;16;103;204;195;219;161;157;194;261;258;213;148;97;71;59;60;34;25
150812 Ulianópolis;1;9;20;17;10;13;24;23;26;16;9;4;4;3;4;1;1;1
150815 Uruará;2;9;9;11;12;7;14;24;21;13;15;8;13;6;3;3;1;1
150820 Vigia;4;10;17;25;25;19;11;25;30;33;19;15;9;9;10;7;3;5
