Município;Até 1 ano;1 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 24 anos;25 a 29 anos;30 a 34 anos;35 a 39 anos;40 a 44 anos;45 a 49 anos;50 a 54 anos;55 a 59 anos;60 a 64 anos;65 a 69 anos;70 a 74 anos;75 a 79 anos;80 anos ou mais
250790 Juripiranga;1;11;17;8;7;4;8;7;12;8;7;6;4;5;2;2;0;3
250800 Juru;0;1;0;3;2;1;1;2;1;9;2;1;2;1;2;0;0;0
250810 Lagoa;0;1;6;4;4;1;1;3;2;4;4;0;2;0;0;3;0;0
250820 Lagoa de Dentro;0;7;5;0;3;2;5;7;6;3;4;2;3;0;2;0;0;2
250830 Lagoa Seca;4;46;74;52;26;45;51;62;73;57;43;42;25;30;29;26;19;19
250840 Lastro;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;1;0;1
250850 Livramento;2;0;2;0;1;3;1;2;1;3;0;3;0;0;0;3;1;1
250855 Logradouro;0;0;1;0;0;0;1;0;1;0;0;1;0;1;0;1;1;0
250860 Lucena;3;23;29;26;18;22;19;29;22;26;27;11;12;7;8;5;10;6
250870 Mãe d'Água;0;1;1;1;0;1;0;0;0;0;1;1;0;0;0;1;0;0
250880 Malta;1;3;2;3;2;2;0;7;3;2;4;0;1;3;0;2;3;0
250890 Mamanguape;8;67;97;49;49;43;73;104;96;78;53;49;39;28;32;32;26;20
250900 Manaíra;1;4;1;0;3;1;2;3;4;1;0;2;1;0;2;1;0;0
250905 Marcação;1;2;7;0;1;0;5;4;3;5;1;1;0;1;0;0;0;0
250910 Mari;5;29;37;14;8;6;16;16;23;18;13;9;6;4;3;5;3;4
250915 Marizópolis;1;3;6;5;6;3;0;2;5;3;4;0;0;1;1;1;1;0
250920 Massaranduba;1;9;14;3;6;19;13;18;20;13;5;6;3;3;3;3;0;3
250930 Mataraca;0;6;9;11;4;3;9;17;16;10;8;9;0;1;1;2;3;1
250933 Matinhas;0;0;4;4;0;0;1;1;1;2;0;0;0;0;1;0;0;0
250937 Mato Grosso;0;0;0;0;1;3;2;3;3;1;1;2;1;0;0;0;0;0
250939 Maturéia;1;0;1;0;1;2;2;2;2;1;0;0;0;1;0;0;0;0
250940 Mogeiro;0;2;14;10;6;4;10;4;7;10;9;3;2;2;2;4;1;3
250950 Montadas;1;2;6;8;4;2;6;5;6;7;6;2;2;0;1;1;1;0
250960 Monte Horebe;0;0;1;0;1;0;1;0;0;1;0;2;0;0;1;0;0;0
250970 Monteiro;2;24;29;24;39;26;41;31;46;43;40;24;32;19;27;26;15;35
250980 Mulungu;0;3;4;5;1;1;2;8;7;5;2;2;1;2;2;0;0;0
250990 Natuba;0;1;3;3;2;0;2;3;3;2;1;3;0;0;1;1;1;0
251000 Nazarezinho;0;3;4;5;2;3;1;3;1;5;3;1;4;1;2;0;1;1
251010 Nova Floresta;1;0;3;1;2;6;2;9;4;4;1;2;4;5;3;4;2;11
251020 Nova Olinda;0;3;5;1;0;1;1;3;1;0;1;0;0;0;1;0;0;0
251030 Nova Palmeira;0;3;2;4;3;4;7;3;5;4;4;1;2;2;1;3;0;1
251040 Olho d'Água;1;5;2;2;4;2;0;3;2;2;2;2;0;6;0;2;0;0
251050 Olivedos;0;2;1;4;2;0;3;4;4;1;2;1;1;2;2;0;2;2
251060 Ouro Velho;0;0;2;1;1;1;1;2;2;1;1;1;0;2;1;1;0;2
251065 Parari;0;0;1;0;1;0;0;0;0;0;1;1;0;0;1;0;3;1
251070 Passagem;0;1;2;0;3;0;0;3;1;2;2;0;0;0;0;0;0;0
251080 Patos;38;215;311;225;188;207;290;313;389;364;250;166;164;173;148;134;86;127
251090 Paulista;9;54;71;82;96;100;144;172;182;171;111;109;150;110;79;83;70;62
251100 Pedra Branca;0;0;1;1;1;1;2;0;0;2;1;0;2;0;0;1;0;1
251110 Pedra Lavrada;2;2;2;4;1;1;2;2;4;3;2;0;1;4;3;2;0;0
251120 Pedras de Fogo;8;64;52;46;40;24;61;70;68;59;42;31;16;10;6;10;4;8
251130 Piancó;1;4;4;7;8;8;8;7;18;13;6;8;5;6;6;6;5;9
251140 Picuí;2;7;9;9;7;11;7;19;23;18;13;11;18;12;9;8;13;13
251150 Pilar;0;13;7;4;6;4;5;10;11;5;6;5;7;3;5;2;0;1
251160 Pilões;2;3;6;3;3;2;2;5;7;6;1;2;1;6;2;4;1;2
251170 Pilõezinhos;1;1;2;2;0;1;4;1;0;0;2;0;0;0;0;0;0;2
251180 Pirpirituba;1;6;8;6;8;1;4;7;8;12;4;1;1;3;3;1;2;4
251190 Pitimbu;6;19;27;28;21;26;32;42;27;40;17;10;10;6;4;5;0;0
251200 Pocinhos;0;16;16;8;16;19;18;23;17;9;22;11;13;14;9;15;14;17
251203 Poço Dantas;0;1;0;1;1;0;0;1;1;0;0;0;1;0;0;0;0;0
251207 Poço de José de Moura;0;0;0;2;2;0;2;0;2;0;0;1;1;1;0;0;0;0
251210 Pombal;2;22;28;42;33;21;21;43;58;70;36;24;27;34;24;18;19;14
251220 Prata;1;2;0;3;0;0;1;4;4;2;2;0;3;2;3;0;0;1
251230 Princesa Isabel;2;9;11;13;9;5;6;16;16;18;8;10;5;13;4;6;1;2
251240 Puxinanã;5;18;20;16;7;13;25;25;17;12;8;11;8;6;9;6;2;9
251250 Queimadas;19;101;136;63;50;137;200;142;92;63;53;33;33;21;28;21;18;30
251260 Quixabá;0;0;0;2;0;0;0;0;1;1;1;0;0;1;0;0;1;0
251270 Remígio;6;12;25;18;13;11;17;19;25;32;14;15;30;30;16;7;15;19
